threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.9,0.6892778993435449,0.7831258560953993,0.6156684374796416,0.2963917525773196,0.9126984126984127,0.4474708171206226,0.9790874524714829,0.6535532994923858,0.7838660578386606,115,11,273,515,Logistic_ModelA,1,2020-2021
0.91,0.6739606126914661,0.7809100797679478,0.604955676227606,0.2881773399014778,0.9285714285714286,0.4398496240601504,0.9822834645669292,0.633248730964467,0.7700617283950617,117,9,289,499,Logistic_ModelA,1,2020-2021
0.92,0.6531728665207878,0.768854242204496,0.5882221688479834,0.2752941176470588,0.9285714285714286,0.4246823956442831,0.9815950920245399,0.6091370558375635,0.7517619420516837,117,9,308,480,Logistic_ModelA,1,2020-2021
0.93,0.6312910284463895,0.7594976230763033,0.5716707341663017,0.2639821029082774,0.9365079365079365,0.4118673647469459,0.9828693790149893,0.5824873096446701,0.7314741035856573,118,8,329,459,Logistic_ModelA,1,2020-2021
0.94,0.6072210065645515,0.7455382322133591,0.5527394412752935,0.2515991471215352,0.9365079365079365,0.39663865546218485,0.9820224719101124,0.5545685279187818,0.7088402270884022,118,8,351,437,Logistic_ModelA,1,2020-2021
0.95,0.5776805251641138,0.7284062525179276,0.5296774434366218,0.23790322580645162,0.9365079365079365,0.37942122186495175,0.9808612440191388,0.5203045685279187,0.6799336650082919,118,8,378,410,Logistic_ModelA,1,2020-2021
0.2,0.8818380743982495,0.5814297800338409,0.6078188319427891,0.875,0.16666666666666666,0.28,0.8820224719101124,0.9961928934010152,0.9356376638855781,21,105,3,785,CatBoost_ModelA,1,2020-2021
0.21,0.8818380743982495,0.5814297800338409,0.6078188319427891,0.875,0.16666666666666666,0.28,0.8820224719101124,0.9961928934010152,0.9356376638855781,21,105,3,785,CatBoost_ModelA,1,2020-2021
0.22,0.8840262582056893,0.5893662879703488,0.6196928777791735,0.8846153846153846,0.18253968253968253,0.3026315789473684,0.884009009009009,0.9961928934010152,0.9367541766109785,23,103,3,785,CatBoost_ModelA,1,2020-2021
0.23,0.8862144420131292,0.5973027959068569,0.6312743409517603,0.8928571428571429,0.1984126984126984,0.3246753246753247,0.8860045146726863,0.9961928934010152,0.937873357228196,25,101,3,785,CatBoost_ModelA,1,2020-2021
0.24,0.888402625820569,0.6052393038433648,0.6425745307324255,0.9,0.21428571428571427,0.34615384615384615,0.8880090497737556,0.9961928934010152,0.9389952153110048,27,99,3,785,CatBoost_ModelA,1,2020-2021
0.25,0.8916849015317286,0.6171440657481266,0.6590207671524018,0.9090909090909091,0.23809523809523808,0.37735849056603776,0.8910329171396141,0.9961928934010152,0.9406830437387658,30,96,3,785,CatBoost_ModelA,1,2020-2021
0.26,0.8938730853391685,0.6250805736846345,0.6696635828113879,0.9142857142857143,0.25396825396825395,0.39751552795031053,0.8930602957906713,0.9961928934010152,0.9418116376724655,32,94,3,785,CatBoost_ModelA,1,2020-2021
0.27,0.8971553610503282,0.6369853355893965,0.6851694418386491,0.9210526315789473,0.2777777777777778,0.4268292682926829,0.8961187214611872,0.9961928934010152,0.9435096153846154,35,91,3,785,CatBoost_ModelA,1,2020-2021
0.28,0.8982494529540481,0.6409535895576505,0.690220302848084,0.9230769230769231,0.2857142857142857,0.43636363636363634,0.8971428571428571,0.9961928934010152,0.9440769693325316,36,90,3,785,CatBoost_ModelA,1,2020-2021
0.29,0.9004376367614879,0.6488900974941584,0.7001517735149808,0.926829268292683,0.30158730158730157,0.4550898203592814,0.8991981672394044,0.9961928934010152,0.9452137266706803,38,88,3,785,CatBoost_ModelA,1,2020-2021
0.3,0.9026258205689278,0.6568266054306664,0.7098630029496631,0.9302325581395349,0.31746031746031744,0.47337278106508873,0.9012629161882894,0.9961928934010152,0.9463532248342374,40,86,3,785,CatBoost_ModelA,1,2020-2021
