number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_inner_mae_std,user_attrs_inner_maes,state,outer_fold,outer_val_season
1,2.3746695262921262,2026-08-10 05:58:42.359255,2026-08-10 05:59:05.704722,0 days 00:00:23.345467,0.3671790657819842,6,1.4187548886332273,0.13186879322049488,0.47662580340148125,0.06740323158805323,"[2.3411559859669904, 2.4687077651514375, 2.314144827757951]",COMPLETE,4,2023-2024
2,2.3719401847125385,2026-08-10 05:59:05.706719,2026-08-10 05:59:36.653769,0 days 00:00:30.947050,0.6171181768161942,5,14.424348260290694,0.14296944890844038,0.1389442524402147,0.06749639057306718,"[2.333346378725822, 2.4668448433608745, 2.315629332050919]",COMPLETE,4,2023-2024
3,2.3608060232416634,2026-08-10 05:59:36.657770,2026-08-10 06:00:15.506988,0 days 00:00:38.849218,0.7633826153653365,8,7.514798621927339,0.11211447552021987,0.16932875456218882,0.058466607181840595,"[2.335812220677291, 2.441559782113863, 2.305046066933836]",COMPLETE,4,2023-2024
4,2.36698021911711,2026-08-10 06:00:15.509986,2026-08-10 06:01:17.299346,0 days 00:01:01.789360,1.9493409639983978,7,0.20103326094554796,0.04108921251562006,2.0796108531613506,0.0801506907226622,"[2.335641747764888, 2.4769872785701095, 2.2883116310163327]",COMPLETE,4,2023-2024
5,2.34346856093212,2026-08-10 06:01:17.303351,2026-08-10 06:02:01.027893,0 days 00:00:43.724542,1.0920494523687392,5,6.935896943806514,0.013119908661890166,0.0014626810816408618,,,PRUNED,4,2023-2024
6,2.3622663414634144,2026-08-10 06:02:01.035892,2026-08-10 06:02:39.205921,0 days 00:00:38.170029,1.704826633285652,5,0.03190409891818039,0.0730633301011996,0.0024078762063179846,0.06667379266408646,"[2.334835340971416, 2.4541083231438563, 2.29785536027497]",COMPLETE,4,2023-2024
7,2.342405284656806,2026-08-10 06:02:39.208847,2026-08-10 06:03:20.856329,0 days 00:00:41.647482,0.5893198654509513,7,0.6941343053664986,0.010101872969986802,0.001446232753685373,,,PRUNED,4,2023-2024
8,2.3465612667438545,2026-08-10 06:03:20.859348,2026-08-10 06:03:30.428508,0 days 00:00:09.569160,0.13174842647010188,5,0.07077849516751762,0.06678174273533262,0.03228891638059613,,,PRUNED,4,2023-2024
9,2.338861458893951,2026-08-10 06:03:30.430867,2026-08-10 06:03:38.750106,0 days 00:00:08.319239,1.762612716764487,4,0.0686568406809845,0.08928077167108806,0.3449164744493141,,,PRUNED,4,2023-2024
10,2.3504590171607993,2026-08-10 06:03:38.759701,2026-08-10 06:03:58.352356,0 days 00:00:19.592655,1.2574217379455095,8,0.013320875536701705,0.02234345254269759,0.01767002042396843,,,PRUNED,4,2023-2024
11,2.343546932884849,2026-08-10 06:03:58.355356,2026-08-10 06:04:16.219386,0 days 00:00:17.864030,1.4935182446195368,8,0.014978625802875898,0.06755055250350867,0.009238598930626682,,,PRUNED,4,2023-2024
12,2.372367894701972,2026-08-10 06:04:16.227374,2026-08-10 06:05:28.621200,0 days 00:01:12.393826,0.8814949028348288,4,1.589950312071805,0.08979988869386642,4.122949091587837,0.07178306808843896,"[2.3265835754508606, 2.4737269924563883, 2.3167931161986672]",COMPLETE,4,2023-2024
13,2.340389166615404,2026-08-10 06:05:28.630501,2026-08-10 06:05:55.401384,0 days 00:00:26.770883,1.537936094556089,6,0.1746137075576112,0.04393348768020933,0.0045468233303423405,,,PRUNED,4,2023-2024
14,2.347677471844918,2026-08-10 06:05:55.424781,2026-08-10 06:06:14.868099,0 days 00:00:19.443318,0.05490108543576255,6,0.532883028938407,0.09199225383386454,0.04120616917345572,,,PRUNED,4,2023-2024
